Item_Number,Set_Name,Theme,Pieces,Price,Amazon_Price,Year,Ages,Pages,Minifigures,Packaging,Weight,Unique_Pieces,Availability,Size
41383,Olivia's Hamster Playground,Friends,81,9.99,19.94,2019,Ages_6+,40,1,NA,0.1Kg (0.22 lb),52,NA,Small
75284,Knights of Ren Transport Ship,Star Wars™,595,69.99,69.99,2020,Ages_9+,136,3,Box,NA,182,Retail,Small
76149,The Menace of Mysterio,Marvel,163,29.99,25.99,2020,Ages_4+,128,3,Box,NA,97,Retail,Small
76089,Mighty Micros: Scarlet Spider vs. Sandman,Marvel,89,9.99,9.99,2018,Ages_5-12,7,2,Box,NA,49,Retail,Small
70828,Pop-Up Party Bus,THE LEGO® MOVIE 2™,1024,79.99,57.99,2019,Ages_9+,172,4,Box,1.39Kg (3.06 lb),294,Retail,Small
70667,Kai's Blade Cycle & Zane's Snowmobile,NINJAGO®,376,29.99,49.95,2019,Ages_8+,128,4,Box,0.51Kg (1.12 lb),189,Retail,Small
41193,Aira & the Song of the Wind Dragon,NA,451,39.99,146.67,2018,Ages_8-12,48,3,Box,NA,200,Retail,NA
75273,Poe Dameron's X-wing Fighter,Star Wars™,761,89.99,89.95,2020,Ages_9+,124,4,Box,NA,219,Retail,Small
10882,Train Tracks,DUPLO®,23,19.99,17.99,2018,Ages_2-5,16,NA,Box,0.66Kg (1.45 lb),9,Retail,Large
60252,Construction Bulldozer,City,126,19.99,15.99,2020,Ages_4+,84,2,Box,0.35Kg (0.78 lb),81,Retail,Small
10886,My First Car Creations,DUPLO®,34,19.99,16,2019,Ages_1½+,10,NA,NA,0.64Kg (1.41 lb),31,NA,Large
75272,Sith TIE Fighter,Star Wars™,470,79.99,79.95,2020,Ages_9+,104,3,Box,NA,127,Retail,Small
10771,Carnival Thrill Coaster,Disney™,98,19.99,15.99,2019,Ages_4+,44,2,Box,NA,56,Retail,Small
10759,Elastigirl's Rooftop Pursuit,Juniors,95,19.99,33.2,2018,Ages_4-7,64,2,Box,NA,77,Retail,Small
42101,Buggy,Technic™,117,12.99,12.93,2020,Ages_7+,48,NA,Box,NA,47,Retail,Small
60231,Fire Chief Response Truck,City,201,29.99,24,2019,Ages_5+,84,2,Box,0.38Kg (0.83 lb),98,Retail,Small
10926,Bedroom,DUPLO®,16,14.99,14.99,2020,Ages_2+,2,2,Box,NA,16,Retail,Large
41191,Naida & The Water Turtle Ambush,NA,205,19.99,59.95,2018,Ages_7-12,56,2,Box,NA,103,Retail,NA
60243,Police Helicopter Chase,City,212,39.99,35.98,2020,Ages_5+,128,4,Box,0.52Kg (1.16 lb),127,Retail,Small
75239,Hoth Generator Attack,Star Wars™,235,29.99,22.99,2019,Ages_7+,68,2,Box,NA,101,Retail,Small
41369,Mia's House,Friends,715,69.99,62.99,2019,Ages_6+,192,3,NA,1.12Kg (2.47 lb),274,NA,Small
60258,Tuning Workshop,City,897,99.99,99.99,2020,Ages_6+,389,7,Box,1.63Kg (3.58 lb),411,Retail,Small
43178,Cinderella's Castle Celebration,Disney™,168,29.99,23.99,2020,Ages_4+,100,1,Box,NA,96,Retail,Small
75271,Luke Skywalker's Landspeeder,Star Wars™,236,29.99,29.93,2020,Ages_7+,72,3,Box,NA,104,NA,Small
76159,Joker's Trike Chase,Batman™,440,49.99,49.95,2020,Ages_7+,108,4,Box,NA,181,Retail,Small
71716,Lloyd Avatar - Arcade Pod,NINJAGO®,48,9.99,9.84,2020,Ages_7+,3,2,Box with backing card,NA,28,Retail,Small
75884,1968 Ford Mustang Fastback,Speed Champions,183,14.99,34.69,2018,Ages_7-14,60,1,Box,0.22Kg (0.48 lb),74,Retail,Small
41158,Jasmine's Petite Tower,Disney™,49,9.99,16.75,2019,Ages_5+,24,1,NA,0.09Kg (0.2 lb),35,NA,Small
21160,The Illager Raid,Minecraft™,562,59.99,58.16,2020,Ages_8+,96,5,Box,NA,187,Retail,Small
10872,Train Bridge and Tracks,DUPLO®,26,24.99,21.99,2018,Ages_2-5,16,1,Box,0.88Kg (1.95 lb),10,Retail,Large
41425,Olivia's Flower Garden,Friends,92,9.99,9.49,2020,Ages_6+,48,2,Box,NA,61,Retail,Small
41357,Olivia's Heart Box,Friends,85,7.99,12.89,2019,Ages_6+,32,2,NA,0.14Kg (0.31 lb),38,NA,Small
70427,Welcome to the Hidden Side,Hidden Side,189,19.99,15.99,2020,Ages_7+,68,4,Box,NA,103,Retail,Small
75262,Imperial Dropship – 20th Anniversary Edition,Star Wars™,125,19.99,41.39,2019,Ages_6+,60,3,Box,NA,57,Retail,Small
10915,Alphabet Truck,DUPLO®,36,24.99,21.99,2020,Ages_1½+,1,2,Box,NA,35,Retail,Large
11004,Windows of Creativity,Classic,450,29.99,24,2019,Ages_4+,85,NA,Box,NA,153,Retail,Small
70827,Ultrakatty & Warrior Lucy!,THE LEGO® MOVIE 2™,348,29.99,23.99,2019,Ages_8+,92,2,Box,0.41Kg (0.9 lb),119,Retail,Small
70637,Cole - Spinjitzu Master,NINJAGO®,73,9.99,18.99,2018,Ages_6-14,32,1,Box,NA,40,Retail,Small
21141,The Zombie Cave,Minecraft™,241,19.99,16.82,2018,Ages_7-14,84,3,Box,0.39Kg (0.86 lb),88,Retail,Small
76104,The Hulkbuster Smash-Up,Marvel,375,29.99,41,2018,Ages_7-14,84,4,Box,0.49Kg (1.08 lb),143,Retail,Small
76128,Molten Man Battle,Spider-Man,294,29.99,22.79,2019,Ages_7+,76,3,Box,NA,117,Retail,Small
75241,Action Battle Echo Base Defence,Star Wars™,504,59.99,48,2019,Ages_8+,112,5,Box,NA,192,Retail,Small
60197,Passenger Train,City,677,159.99,134.99,2018,Ages_6-12,230,4,Box,2.05Kg (4.51 lb),165,Retail,Small
41901,Funky Animals Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,NA,NA,Foil pack,NA,10,Retail,Small
10913,Brick Box,DUPLO®,65,29.99,26.79,2020,Ages_1½+,20,2,Tag,NA,46,Retail,Large
75533,Boba Fett,Star Wars™,144,29.99,94.95,2018,Ages_8-14,48,NA,Box,NA,67,Retail,Small
60198,Cargo Train,City,1227,229.99,181.21,2018,Ages_6-12,362,6,Box,3.03Kg (6.68 lb),410,Retail,Small
76116,Batman Batsub and the Underwater Clash,Batman™,174,19.99,36,2019,Ages_7+,64,3,Box,0.32Kg (0.7 lb),82,Retail,Small
21044,Paris,Architecture,649,49.99,49.84,2019,Ages_12+,112,NA,Box,NA,114,Retail,Small
75975,Watchpoint: Gibraltar,Overwatch®,730,89.99,67.76,2019,Ages_9+,192,4,Box,1.39Kg (3.06 lb),287,Retail,Small
21041,Great Wall of China,Architecture,551,49.99,82.59,2018,Ages_12+,112,NA,Box,0.81Kg (1.78 lb),81,Retail - limited,Small
41380,Lighthouse Rescue Centre,Friends,602,59.99,47.99,2019,Ages_6+,180,2,Box,NA,273,Retail,Small
60267,Safari Off-Roader,City,168,19.99,17.99,2020,Ages_5+,76,2,Box,0.34Kg (0.76 lb),86,Retail,Small
70428,Jack's Beach Buggy,Hidden Side,170,19.99,16.99,2020,Ages_7+,56,3,Box,NA,98,Retail,Small
10260,Downtown Diner,Creator Expert,2480,169.99,250.98,2018,Ages_16+,200,6,Box,NA,508,LEGO exclusive,Small
21319,Central Perk,Ideas,1070,59.99,59.99,2019,Ages_16+,156,7,Box,1.35Kg (2.98 lb),366,Retail - limited,Small
41385,Emma's Summer Heart Box,Friends,86,7.99,14.67,2019,Ages_6+,36,1,Other,NA,45,Retail,Small
60261,Central Airport,City,286,59.99,59.95,2020,Ages_4+,169,6,Box,0.82Kg (1.81 lb),168,Retail,Small
41253,Lonesome Flats Raft Adventure,Trolls World Tour,159,29.99,23.99,2020,Ages_4+,100,3,Box,NA,110,Retail,Small
75252,Imperial Star Destroyer,Star Wars™,4784,699.99,699.95,2019,Ages_16+,444,2,Box,NA,445,LEGO exclusive,Small
41390,Andrea's Car & Stage,Friends,240,19.99,17.98,2020,Ages_6+,68,2,Box,NA,116,Retail,Small
41426,Heartlake City Park Café,Friends,224,19.99,19.95,2020,Ages_6+,72,2,Box,NA,117,Retail,Small
21138,The Melon Farm,Minecraft™,69,14.99,62.75,2018,Ages_6-14,44,3,Box,NA,47,Retail,Small
76118,Mr. Freeze Batcycle Battle,Batman™,200,19.99,37.03,2019,Ages_6+,68,3,Box,0.3Kg (0.66 lb),97,Retail,Small
76112,App-Controlled Batmobile,DC,321,99.99,139.95,2018,Ages_8+,108,1,Box,0.82Kg (1.81 lb),114,Retail,Small
41391,Heartlake City Hair Salon,Friends,235,19.99,17.99,2020,Ages_6+,84,2,Box,NA,138,Retail,Small
60212,Barbecue Burn Out,City,64,9.99,8.99,2019,Ages_4+,28,2,Box,0.13Kg (0.29 lb),45,Retail,Small
60254,Race Boat Transporter,City,238,29.99,26.99,2020,Ages_5+,124,2,Box,0.56Kg (1.24 lb),123,Retail,Small
11007,Creative Green Bricks,Classic,60,4.99,4.93,2020,Ages_4+,37,NA,Box,NA,36,Retail,Small
75268,Snowspeeder,Star Wars™,91,19.99,19.95,2020,Ages_4+,56,2,Box,NA,64,Retail,Small
41608,Han Solo,Star Wars™,141,9.99,14,2018,Ages_10+,44,NA,Box,NA,51,Retail,Small
70652,Stormbringer,NINJAGO®,493,39.99,93.99,2018,Ages_8-14,108,4,Box,0.68Kg (1.5 lb),182,Retail,Small
43175,Anna and Elsa's Storybook Adventures,LEGO® Frozen 2,133,19.99,16.37,2020,Ages_5+,3,4,Box,NA,71,Retail,Small
10878,Rapunzel's Tower,DUPLO®,37,29.99,98.99,2018,Ages_2-5,24,1,Box,NA,26,NA,Large
71700,Jungle Raider,NINJAGO®,127,9.99,8.99,2020,Ages_7+,60,1,Box,NA,61,Retail,Small
41915,Jewellery Box,DOTS,374,19.99,19.99,2020,Ages_6+,3,NA,Plastic canister,NA,35,Retail,Small
43173,Aurora's Royal Carriage,Disney™,62,9.99,9.72,2020,Ages_5+,28,1,Box,NA,35,Retail,Small
42095,Remote-Controlled Stunt Racer,Technic™,324,99.99,80.99,2019,Ages_9+,72,NA,Box,0.79Kg (1.74 lb),78,Retail,Small
42104,Race Truck,Technic™,227,19.99,18.84,2020,Ages_7+,35,NA,Box,NA,59,Retail,Small
10920,Elsa and Olaf's Tea Party,DUPLO®,17,19.99,17.93,2020,Ages_2+,12,2,Box,NA,13,Retail,Large
76137,Batman vs. The Riddler Robbery,Batman™,59,9.99,20.92,2019,Ages_4+,36,2,Box,NA,44,Retail,Small
42071,Dozer Compactor,Technic™,171,19.99,38.95,2018,Ages_8-14,100,NA,Box,0.33Kg (0.73 lb),62,Retail,Small
75193,Millennium Falcon Microfighter,Star Wars™,92,9.99,48.9,2018,Ages_6-12,44,1,Box,0.11Kg (0.25 lb),48,Retail,Small
70839,The Rexcelsior!,THE LEGO® MOVIE 2™,1826,149.99,229.99,2019,Ages_10+,276,4,Box,NA,377,Retail,Small
60215,Fire Station,City,509,69.99,56,2019,Ages_5+,184,4,Box,1.17Kg (2.57 lb),210,Retail,Small
76124,War Machine Buster,Marvel,362,34.99,27.79,2019,Ages_7+,64,4,Box,NA,122,Retail,Small
70923,The Bat-Space Shuttle,DC,643,79.99,153,2018,Ages_8-14,124,6,Box,NA,239,Retail,Small
70831,Emmet's Dream House/Rescue Rocket!,THE LEGO® MOVIE 2™,706,69.99,86.89,2019,Ages_8+,260,4,Box,1.14Kg (2.51 lb),197,Retail,Small
60220,Garbage Truck,City,90,19.99,16.36,2019,Ages_4+,40,2,Box,0.31Kg (0.69 lb),52,Retail,Small
76140,Iron Man Mech,Marvel,148,9.99,9.84,2020,Ages_6+,64,1,Box,NA,61,Retail,Small
76152,Avengers Wrath of Loki,Marvel,223,59.99,59.95,2020,Ages_4+,124,5,Box,NA,137,Retail,Small
75200,Ahch-To Island Training,Star Wars™,241,29.99,48.99,2018,Ages_7-12,84,2,Box,0.39Kg (0.86 lb),129,Retail,Small
41338,Stephanie's Sports Arena,Friends,460,44.99,68.7,2018,Ages_6-12,108,2,Box,0.76Kg (1.67 lb),188,Retail,Small
70823,Emmet's Thricycle!,THE LEGO® MOVIE 2™,174,14.99,16,2019,Ages_7+,84,1,Box,0.25Kg (0.55 lb),100,Retail,Small
70646,Jay - Dragon Master,NINJAGO®,92,14.99,22,2018,Ages_8-14,48,1,Box,NA,53,Retail,Small
41423,Tiger Hot Air Balloon Jungle Rescue,Friends,302,39.99,39.95,2020,Ages_7+,116,2,Box,NA,145,Retail,Small
76091,Mighty Micros: Thor vs. Loki,Marvel,79,9.99,28.49,2018,Ages_5-12,7,2,Box,NA,47,Retail,Small
31107,Space Rover Explorer,Creator 3-in-1,510,39.99,39.95,2020,Ages_8+,276,1,Box,NA,206,Retail,Small
60238,Switch Tracks,City,8,15.99,14.39,2018,Ages_5-12,NA,NA,Box,0.28Kg (0.62 lb),4,Retail,Small
75286,General Grievous's Starfighter,Star Wars™,487,79.99,79.95,2020,Ages_9+,96,NA,Box,NA,139,Retail,Small
75246,Death Star Cannon,Star Wars™,159,19.99,13.85,2019,Ages_7+,80,2,Box,NA,79,Retail,Small
10858,My First Puzzle Pets,DUPLO®,18,9.99,34.5,2018,Ages_1½-3,9,NA,Box,0.34Kg (0.75 lb),16,NA,Large
10893,Spider-Man vs. Electro,Marvel,29,19.99,46.75,2019,Ages_2+,10,2,Box,0.41Kg (0.9 lb),22,Retail,Small
70636,Zane - Spinjitzu Master,NINJAGO®,69,9.99,19.65,2018,Ages_6-14,32,1,Box,NA,38,Retail,Small
10403,World Fun,Classic,295,19.99,20.99,2018,Ages_5-99,53,2,Box,NA,149,Retail,Small
21140,The Chicken Coop,Minecraft™,198,19.99,15.99,2018,Ages_7-14,72,1,Box,0.36Kg (0.79 lb),90,Retail,Small
60262,Passenger Airplane,City,669,99.99,99.95,2020,Ages_6+,273,9,Box,1.77Kg (3.9 lb),288,Retail,Small
60241,Police Dog Unit,City,67,9.99,8.99,2020,Ages_4+,40,2,Box,0.12Kg (0.28 lb),48,Retail,Small
42096,Porsche 911 RSR,Technic™,1580,149.99,127.4,2019,Ages_10+,296,NA,Box,2.25Kg (4.96 lb),178,Retail,Small
70638,Katana V11,NINJAGO®,257,19.99,32.98,2018,Ages_7-14,84,2,Box,0.32Kg (0.7 lb),111,Retail,Small
41165,Anna's Canoe Expedition,LEGO® Frozen 2,108,19.99,16,2019,Ages_4+,64,2,Box,NA,61,Retail,Small
10712,Bricks and Gears,Classic,244,19.99,36.78,2018,Ages_5-99,124,NA,Box,0.4Kg (0.88 lb),94,Retail,Small
42102,Mini CLAAS XERION,Technic™,130,12.99,12.99,2020,Ages_7+,56,NA,Box,NA,45,Retail,Small
10265,Ford Mustang,Creator Expert,1471,149.99,149.99,2019,Ages_16+,212,NA,Box,NA,358,LEGO exclusive,Small
41371,Mia's Horse Trailer,Friends,216,29.99,34.95,2019,Ages_6+,76,2,Box,NA,119,Retail,Small
10269,Harley-Davidson Fat Boy,Creator Expert,1023,99.99,99.95,2019,Ages_16+,156,NA,Box,NA,300,NA,Small
60180,Monster Truck,City,192,19.99,26.48,2018,Ages_6-12,76,1,Box,0.38Kg (0.84 lb),76,Retail,Small
10908,Plane,DUPLO®,12,9.99,23.27,2019,Ages_2+,10,1,Box,NA,11,Retail,Large
10404,Ocean's Bottom,Classic,579,29.99,52.47,2018,Ages_5-99,57,2,Box,NA,218,Retail,Small
71699,Thunder Raider,NINJAGO®,576,49.99,44.99,2020,Ages_8+,148,5,Box,NA,191,Retail,Small
70429,El Fuego's Stunt Plane,Hidden Side,295,29.99,29.95,2020,Ages_7+,92,3,Box,NA,149,Retail,Small
60234,People Pack - Fun Fair,City,183,39.99,31.99,2019,Ages_5+,64,14,Box,0.28Kg (0.61 lb),138,Retail,Small
60236,Straight & T-Junction,City,2,14.99,13.49,2019,Ages_5+,NA,NA,Shrink-wrapped,0.2Kg (0.44 lb),2,Retail,Small
72002,Twinfector,NA,191,19.99,69.99,2018,Ages_7-14,44,3,Box,NA,73,Retail,NA
41346,Friendship Box,Friends,563,49.99,49.79,2018,Ages_6-12,172,NA,Box,0.98Kg (2.16 lb),198,Retail,Small
41603,Kylo Ren,Star Wars™,130,9.99,23.15,2018,Ages_10+,40,NA,Box,NA,50,Retail,Small
70663,Spinjitzu Nya & Wu,NINJAGO®,227,19.99,29.95,2019,Ages_7+,56,2,Box,0.23Kg (0.51 lb),49,Retail,Small
60219,Construction Loader,City,88,9.99,8.99,2019,Ages_5+,36,1,Box,0.16Kg (0.34 lb),50,Retail,Small
41161,Aladdin's and Jasmine's Palace Adventures,Disney™,193,29.99,67.22,2019,Ages_5+,76,2,NA,0.38Kg (0.84 lb),114,NA,Small
75249,Resistance Y-wing Starfighter,Star Wars™,578,69.99,55.99,2019,Ages_8+,76,5,Box,NA,177,Retail,Small
43170,Moana's Ocean Adventure,Disney™,46,9.99,9.84,2020,Ages_6+,36,1,Box,NA,39,Retail,Small
75207,Imperial Patrol Battle Pack,Star Wars™,99,14.99,17.25,2018,Ages_6-12,36,3,Box,NA,43,Retail,Small
70678,Castle of the Forsaken Emperor,NINJAGO®,1218,99.99,89.99,2019,Ages_9+,248,7,Box,NA,361,Retail,Small
31080,Modular Winter Vacation,Creator 3-in-1,374,34.99,46,2018,Ages_7-12,200,2,Box,NA,142,Retail,Small
41375,Heartlake City Amusement Pier,Friends,1251,129.99,116.99,2019,Ages_8+,316,7,Box,NA,433,Retail,Small
71366,Boomer Bill Barrage,LEGO® Super Mario™,132,29.99,29.99,2020,Ages_7+,NA,2,Box,NA,70,Retail,Small
70633,Kai - Spinjitzu Master,NINJAGO®,61,9.99,29.99,2018,Ages_6-14,32,1,Box,NA,33,Retail,Small
41394,Heartlake City Hospital,Friends,379,49.99,48.53,2020,Ages_6+,132,3,Box,NA,154,Retail,Small
31087,Dune Buggy,Creator 3-in-1,147,12.99,11.92,2019,Ages_6+,120,NA,Box,0.25Kg (0.55 lb),65,Retail,Small
41336,Emma's Art Café,Friends,378,32.99,85.49,2018,Ages_6-12,112,2,Box,0.6Kg (1.32 lb),166,Retail,Small
70430,Newbury Subway,Hidden Side,348,29.99,29.95,2020,Ages_8+,108,3,Box,NA,146,Retail,Small
42077,Rally Car,Technic™,1005,109.99,161.03,2018,Ages_10-16,364,NA,NA,1.7Kg (3.74 lb),152,NA,Small
10714,Blue Baseplate,Classic,1,7.99,13.48,2018,Ages_4-99,NA,NA,NA,0.1Kg (0.22 lb),1,Retail,Small
60246,Police Station,City,743,99.99,99.99,2020,Ages_6+,345,7,Box,1.85Kg (4.06 lb),298,Retail,Small
60216,Downtown Fire Brigade,City,943,99.99,89.99,2019,Ages_6+,414,7,Box,1.84Kg (4.06 lb),400,Retail,Small
70670,Monastery of Spinjitzu,NINJAGO®,1070,79.99,71.99,2019,Ages_9+,188,8,Box,1.52Kg (3.35 lb),359,Retail,Small
75951,Grindelwald's Escape,NA,132,19.99,19.99,2018,Ages_7-14,48,2,Box,0.24Kg (0.53 lb),68,Retail,NA
75977,Junkrat & Roadhog,Overwatch®,380,49.99,39.95,2019,Ages_10+,92,2,Box,NA,168,Retail,Small
71706,Cole's Speeder Car,NINJAGO®,52,9.99,8.99,2020,Ages_4+,36,2,Box,NA,32,Retail,Small
75216,Snoke's Throne Room,Star Wars™,492,69.99,63.95,2018,Ages_8-14,104,4,Box,0.82Kg (1.81 lb),166,Retail,Small
75213,Star Wars Advent Calendar,Star Wars™,307,39.99,39.88,2018,Ages_6-14,4,7,Box,NA,186,Retail,Small
75292,The Razor Crest,Star Wars™,1023,129.99,129.99,2020,Ages_10+,NA,2,Box,NA,277,Retail,Small
42088,Cherry Picker,Technic™,155,9.99,22.75,2019,Ages_7+,40,NA,NA,0.16Kg (0.35 lb),51,NA,Small
41250,Techno Reef Dance Party,Trolls World Tour,173,19.99,16.82,2020,Ages_5+,72,1,Box,NA,85,Retail,Small
75971,Hanzo vs. Genji,Overwatch®,197,19.99,24.45,2019,Ages_8+,60,3,Box,0.3Kg (0.66 lb),84,Retail,Small
41361,Mia's Foal Stable,Friends,118,19.99,15.99,2019,Ages_4+,64,1,NA,0.29Kg (0.64 lb),66,NA,Small
76896,Nissan GT-R NISMO,Speed Champions,298,19.99,18.95,2020,Ages_7+,80,1,Box,NA,101,Retail,Small
42106,Stunt Show Truck & Bike,Technic™,610,49.99,49.99,2020,Ages_8+,120,NA,Box,NA,109,Retail,Small
41362,Heartlake City Supermarket,Friends,140,29.99,32.97,2019,Ages_4+,68,2,Box,NA,90,Retail,Small
70635,Jay - Spinjitzu Master,NINJAGO®,68,9.99,29.95,2018,Ages_6-14,32,1,Box,NA,39,Retail,Small
10760,Underminer's Bank Heist,Juniors,149,24.99,49.75,2018,Ages_4-7,64,3,Box,NA,99,Retail,Small
76120,Batwing and The Riddler Heist,Batman™,489,49.99,40,2019,Ages_7+,132,4,Box,NA,212,Retail,Small
21163,The Redstone Battle,Minecraft™,504,39.99,39.99,2020,Ages_8+,88,4,Box,NA,133,Retail,Small
76142,Avengers Speeder Bike Attack,Marvel,226,19.99,15.99,2020,Ages_6+,104,3,Box,NA,97,Retail,Small
76895,Ferrari F8 Tributo,Speed Champions,275,19.99,19.95,2020,Ages_7+,72,1,Box,0.32Kg (0.7 lb),92,Retail,Small
60204,City Hospital,City,861,99.99,209.45,2018,Ages_6-12,329,13,Box,1.67Kg (3.69 lb),362,Retail,Small
75947,Hagrid's Hut: Buckbeak's Rescue,Harry Potter™,496,59.99,47.99,2019,Ages_8+,120,6,Box,NA,208,Retail,Small
41378,Dolphins Rescue Mission,Friends,363,39.99,31.67,2019,Ages_6+,116,2,Box,NA,192,Retail,Small
76090,Mighty Micros: Star-Lord vs. Nebula,Marvel,86,9.99,19.49,2018,Ages_5-12,7,2,Box,NA,45,Retail,Small
76148,Spider-Man vs. Doc Ock,Marvel,234,19.99,19.95,2020,Ages_6+,72,3,Box,NA,80,Retail,Small
75950,Aragog's Lair,Harry Potter™,157,14.99,29.95,2018,Ages_7-14,56,2,Box,0.16Kg (0.35 lb),82,Retail,Small
10749,Mia's Organic Food Market,Friends,115,19.99,24.49,2018,Ages_4-7,56,1,Box,NA,70,Retail,Small
31089,Sunset Track Racer,Creator 3-in-1,221,19.99,17.97,2019,Ages_7+,144,NA,Box,0.38Kg (0.84 lb),81,Retail,Small
75194,First Order TIE Fighter Microfighter,Star Wars™,91,9.99,24.95,2018,Ages_6-12,40,1,Box,0.11Kg (0.24 lb),47,Retail,Small
21162,The Taiga Adventure,Minecraft™,74,9.99,9.84,2020,Ages_7+,40,2,Box,NA,48,Retail,Small
41363,Mia's Forest Adventures,Friends,134,14.99,18.95,2019,Ages_6+,44,1,NA,0.15Kg (0.33 lb),77,NA,Small
41364,Stephanie's Buggy & Trailer,Friends,166,19.99,32.9,2019,Ages_6+,48,1,NA,0.29Kg (0.64 lb),97,NA,Small
70676,Lloyd's Titan Mech,NINJAGO®,876,79.99,71.99,2019,Ages_9+,164,6,Box,NA,230,Retail,Small
41164,Enchanted Tree House,LEGO® Frozen 2,302,49.99,39.99,2019,Ages_6+,120,3,Box,NA,174,Retail,Small
41379,Heartlake City Restaurant,Friends,624,59.99,48,2019,Ages_6+,140,3,Box,NA,201,Retail,Small
75243,Slave I - 20th Anniversary Edition,Star Wars™,1007,119.99,119.97,2019,Ages_10+,164,6,Box,NA,293,Retail,Small
41356,Stephanie's Heart Box,Friends,85,7.99,14.99,2019,Ages_6+,32,1,NA,0.13Kg (0.29 lb),36,NA,Small
60233,Donut Shop Opening,City,790,89.99,80.99,2019,Ages_6+,320,10,Box,1.4Kg (3.09 lb),368,Retail,Small
41387,Olivia's Summer Heart Box,Friends,93,7.99,7.99,2019,Ages_6+,40,2,Other,NA,48,Retail,Small
10863,My First Animal Brick Box,DUPLO®,34,29.99,26.99,2018,Ages_1½-3,9,NA,Plastic box,NA,29,NA,Large
41401,Stephanie's Play Cube - Baker,Friends,44,9.99,18.54,2020,Ages_6+,5,1,Box,NA,37,Retail,Small
70661,Spinjitzu Zane,NINJAGO®,109,9.99,17.99,2019,Ages_7+,32,1,Box,0.13Kg (0.29 lb),21,Retail,Small
42105,Catamaran,Technic™,404,49.99,39.99,2020,Ages_8+,100,NA,Box,NA,74,Retail,Small
31102,Fire Dragon,Creator 3-in-1,234,19.99,19.59,2020,Ages_7+,132,NA,Box,NA,80,Retail,Small
75288,AT-AT,Star Wars™,1267,159.99,237.9,2020,Ages_10+,188,NA,Box,NA,285,Retail,Small
